movieid;cast;director;writer;genres
487;Paul Hogan,Beverly D'Angelo,Cuba Gooding Jr.,Pat Hingle,Richard Riehle;Simon Wincer,Paul Hogan,Greg Coote;Paul Hogan;Action,Comedy,Western
488;Jeremy Irons,John Lone,Barbara Sukowa,Ian Richardson,Annabel Leventon;David Cronenberg;;Drama,Romance
489;Whoopi Goldberg,Ted Danson,Nia Long,Will Smith,Jennifer Tilly;Richard Benjamin;;Comedy
490;Alec Baldwin,Nicole Kidman,Bill Pullman,Bebe Neuwirth,George C. Scott;Harold Becker;;Drama,Crime
491;Mel Gibson,Nick Stahl,Margaret Whitton,Fay Masterson,Gaby Hoffmann;Mel Gibson;;Drama
492;Woody Allen,Diane Keaton,Jerry Adler,Alan Alda,Anjelica Huston;Woody Allen;;Comedy,Crime,Mystery,Thriller
493;Tyrin Turner,Larenz Tate,Glenn Plummer,Jada Pinkett Smith,Samuel L. Jackson;Albert Hughes,Allen Hughes;;Drama,Action,Crime
494;Kurt Russell,Steven Seagal,Halle Berry,John Leguizamo,Oliver Platt;Stuart Baird;Jim Thomas,John Thomas;Action,Adventure,Drama,Thriller
495;Eiko Matsuda,Tatsuya Fuji,Aoi Nakajima,Yasuko Matsui,Meika Seri;Nagisa Ōshima;;Drama,Romance
496;Karen Sillas,Tom Noonan;Tom Noonan;Tom Noonan;Thriller,Comedy,Drama,Romance
497;Kenneth Branagh,Richard Briers,Michael Keaton,Robert Sean Leonard,Keanu Reeves;Kenneth Branagh;;Drama,Comedy,Romance
498;Richard Gere,Lena Olin,Anne Bancroft,Tom Irwin,Delroy Lindo;Mike Figgis;;Drama,Romance
499;Matt Dillon,Annabella Sciorra,Mary-Louise Parker,William Hurt;Anthony Minghella;Amy Schor,Vicki Polon;Comedy,Romance
500;Robin Williams,Sally Field,Pierce Brosnan,Harvey Fierstein,Polly Holliday;Chris Columbus;;Comedy,Drama,Family
501;David Thewlis,Lesley Sharp,Katrin Cartlidge,Greg Cruttwell,Claire Skinner;Mike Leigh;Mike Leigh;Comedy,Drama
502;Pat Morita,Hilary Swank,Michael Ironside,Constance Towers,Chris Conrad;Christopher Cain;;Adventure
503;Peter Weller,Judy Davis,Patrick Bauchau,Adam West,Paula Marshall;Michael Tolkin;Michael Tolkin;Comedy,Drama
504;Ray Liotta,Lance Henriksen,Stuart Wilson,Kevin Dillon,Kevin J. O'Connor;Martin Campbell;;Action,Drama,Sci-Fi,Thriller
505;Elijah Wood,Jason Alexander,Julia Louis-Dreyfus,Jon Lovitz,Bruce Willis;Rob Reiner;;Comedy,Drama,Family,Fantasy,Sci-Fi
506;Tilda Swinton,Quentin Crisp,Jimmy Somerville,John Wood,Simon Russell Beale;Sally Potter;;Romance,Drama,Fantasy
507;Kevin Costner,Clint Eastwood,Laura Dern,T.J. Lowther,Bradley Whitford;Clint Eastwood;;Crime,Drama,Thriller
508;Tom Hanks,Denzel Washington,Jason Robards,Mary Steenburgen,Antonio Banderas;Jonathan Demme;;Drama,Mystery
509;Holly Hunter,Harvey Keitel,Sam Neill,Anna Paquin,Cliff Curtis;Jane Campion;;Romance,Drama
510;Janet Jackson,Tupac Shakur,Regina King,Joe Torry,Tyra Ferrell;John Singleton;;Drama,Romance
511;James Caan,Halle Berry,Omar Epps,Craig Sheffer,Kristy Swanson;David S. Ward;David S. Ward;Drama
512;Donald Sutherland,Eric Thal,Julie Warner,Keith David,Will Patton;Stuart Orme;;Horror,Sci-Fi,Thriller
513;Brian Benben,Mary Stuart Masterson,Ned Beatty,George Burns,Scott Michael Campbell;Mel Smith;;Comedy,Crime,Drama,Music,Mystery,Romance
514;Denis Leary,Judy Davis,Kevin Spacey,Glynis Johns,Robert J. Steinmiller Jr.;Ted Demme;;Comedy
515;Anthony Hopkins,Emma Thompson,James Fox,Christopher Reeve,Hugh Grant;James Ivory;;Drama,Romance
516;Danny DeVito,Mark Wahlberg,Gregory Hines,James Remar,Ed Begley Jr.;Penny Marshall;;Comedy,War
517;Sean Connery,Wesley Snipes,Harvey Keitel,Cary-Hiroyuki Tagawa,Kevin Anderson;Philip Kaufman;;Action,Drama,Thriller
518;Anthony Hopkins,Bridget Fonda,Matthew Broderick,John Cusack,Dana Carvey;Alan Parker;;Comedy,Romance
519;Robert John Burke,Nancy Allen,Mario Machado,Jodi Long,John Posey;Fred Dekker;;Action,Adventure,Crime,Sci-Fi,Thriller
520;Cary Elwes,Dom DeLuise,Roger Rees,Dave Chappelle,Eric Allan Kramer;Mel Brooks;;Comedy
521;Gary Oldman,Lena Olin,Annabella Sciorra,Juliette Lewis,Roy Scheider;Peter Medak;;Action,Crime,Drama,Thriller
522;Russell Crowe,Daniel Pollock,Jacqueline McKenzie,Alex Scott,Leigh Russell;Geoffrey Wright;;Action,Drama,Thriller
523;Ashley Judd,Todd Field,Bentley Mitchum,Dorothy Lyman,Allison Dean;Victor Nunez;Victor Nunez;Drama,Romance
524;Sean Astin,Jon Favreau,Ned Beatty,Greta Lind,Scott Benjaminson;David Anspaugh;Angelo Pizzo;Drama
525;Danny Glover,Matt Dillon,Rick Aviles,Nina Siemaszko,Ving Rhames;Tim Hunter;Lyle Kessler;Drama
526;Cyril Collard,Romane Bohringer,Carlos López,Corine Blue,Claude Winter;Cyril Collard;Cyril Collard;Drama
527;Liam Neeson,Ben Kingsley,Ralph Fiennes,Caroline Goodall,Jonathan Sagall;Steven Spielberg;;Drama,History,War
528;Brendan Fraser,Albert Brooks,Dianne Wiest,Anne Twomey,Lane Smith;Michael Ritchie;Roger Angelini,Andrew Bergman;Comedy,Drama
529;Max Pomeranc,Joe Mantegna,Joan Allen,Ben Kingsley,Laurence Fishburne;Steven Zaillian;;Drama
530;William Hurt,Nathan Yapp,Keith Allen,Jane Horrocks,Alan Cumming;Chris Menges;;Drama
531;Kate Maberly,Heydon Prowse,Andrew Knott,Maggie Smith,Irène Jacob;Agnieszka Holland;;Fantasy,Drama,Family
532;Kathleen Turner,Sam Waterston,Ricki Lake,Matthew Lillard,Mink Stole;John Waters;;Crime,Comedy,Thriller
533;Alec Baldwin,John Lone,Penelope Ann Miller,Peter Boyle,Ian McKellen;Russell Mulcahy;;Adventure,Fantasy,Action,Thriller,Sci-Fi
534;Anthony Hopkins,Debra Winger,John Wood,Julian Fellowes,Roddy Maude-Roxby;Richard Attenborough;;Drama,Romance
535;Julianne Moore,Andie MacDowell,Tim Robbins,Jack Lemmon,Anne Archer;Robert Altman;;Comedy,Drama
536;Steve Martin,Gabriel Byrne,Laura Linney,Catherine O'Hara,Stephen Baldwin;Gillies MacKinnon;;Drama,Family
537;Hugh Grant,Tara Fitzgerald,Sam Neill,Elle Macpherson,Portia de Rossi;John Duigan;;Comedy,Drama
538;Will Smith,Donald Sutherland,Stockard Channing,Ian McKellen,Mary Beth Hurt;Fred Schepisi;John Guare;Mystery,Drama,Comedy
539;Tom Hanks,Meg Ryan,Bill Pullman,Ross Malinger,Rosie O'Donnell;Nora Ephron;;Comedy,Drama,Romance
540;Sharon Stone,William Baldwin,Tom Berenger,Polly Walker,Colleen Camp;Phillip Noyce;;Drama,Thriller
541;Harrison Ford,Rutger Hauer,Sean Young,Edward James Olmos,Joe Turkel;Ridley Scott;;Sci-Fi,Drama,Thriller
542;Pauly Shore,Carla Gugino,Lane Smith,Tiffani Thiessen,Cindy Pickett;Steve Rash;;Comedy,Drama,Romance
543;Mike Myers,Nancy Travis,Anthony LaPaglia,Amanda Plummer,Brenda Fricker;Thomas Schlamme;;Comedy,Crime,Romance
544;Bruce Willis,Sarah Jessica Parker,Dennis Farina,Tom Sizemore,Brion James;Rowdy Herrington;;Crime,Action,Mystery,Thriller
545;Nastassja Kinski,Ben Kingsley,Dennis Goldson,Zohra Segal,Michel Robin;Arthur Joffé;;History,Drama,Romance
546;Bob Hoskins,John Leguizamo,Dennis Hopper,Samantha Mathis,Fisher Stevens;Annabel Jankel,Rocky Morton;;Adventure,Comedy,Family,Fantasy
547;Ice-T,Rutger Hauer,Charles S. Dutton,Gary Busey,John C. McGinley;Ernest R. Dickerson;Eric Bernt;Action,Adventure,Thriller,Crime
548;Charlie Sheen,Nastassja Kinski,James Gandolfini,Christopher McDonald,Brooke Langton;Deran Sarafian;;Action,Thriller
549;Colm Feore,Derek Keurvorst,Derek Keurvorst,Katya Ladan,Joshua Greenblatt;François Girard;François Girard,Don McKellar;Drama,Music
550;Josh Charles,Stephen Baldwin,Lara Flynn Boyle,Alexis Arquette,Martha Gehman;Andrew Fleming;;Comedy,Drama,Family,Romance
551;Danny Elfman,Chris Sarandon,Catherine O'Hara,William Hickey,Glenn Shadix;Henry Selick;Tim Burton;Fantasy,Animation,Family
552;Charlie Sheen,Kiefer Sutherland,Chris O'Donnell,Oliver Platt,Tim Curry;Stephen Herek;;Action,Adventure,Comedy
553;Kurt Russell,Val Kilmer,Sam Elliott,Bill Paxton,Stephen Lang;George P. Cosmatos;;Action,Adventure,Drama,History,Western
554;William Hurt,Joanne Whalley,Gabriel Byrne,Armand Assante,Kathleen Quinlan;Heywood Gould;;Drama,Action,Thriller
555;Christian Slater,Patricia Arquette,Michael Rapaport,Bronson Pinchot,Gary Oldman;Tony Scott;;Action,Thriller,Crime,Romance
556;James Carville,George Stephanopoulos,Heather Beckel,Paul Begala,Bob Boorstin;Chris Hegedus,D.A. Pennebaker;;Documentary,History
557;;;;Drama
558;Macaulay Culkin,Christopher Lloyd,Patrick Stewart,Whoopi Goldberg,Canan J. Howell;Pixote Hunt,Joe Johnston,Maurice Hunt;;Fantasy,Sci-Fi,Family,Animation
559;Leslie Hope,Peter Outerbridge,Victor Ertmanis,Dan Lett,Raoul Max Trujillo;Jerry Ciccoritti;Tom Walmsley;Drama,Comedy
560;Martha Plimpton,Kelly Lynch,Rutger Hauer;Jennifer Warren;Carolyn Chute;
561;Anthony LaPaglia,Mimi Rogers,Matt Craven,Peter Boyle,Monika Schnarre;Mark Malone;;Thriller,Drama,Romance
562;Heather Matarazzo,Victoria Davis,Christina Brucato,Christina Vidal,Siri Howard;Todd Solondz;;Comedy,Drama
563;Miou-Miou,Gérard Depardieu,Renaud,Jean Carmet,Judith Henry;Claude Berri;;Drama,Romance
564;Tom Berenger,William McNamara,Erika Eleniak,Crispin Glover,Matthew Glave;Dennis Hopper;;Comedy,Romance
565;Federico Luppi,Ron Perlman,Claudio Brook,Margarita Isabel,Tamara Shanath;Guillermo del Toro;;Drama,Horror,Thriller
566;Eric Stoltz,Mary-Louise Parker,Ralph Macchio,Tony Curtis,Jill Clayburgh;Daniel Algrant;John Warren;Comedy,Romance
567;Verónica Forqué,Victoria Abril,Peter Coyote,Rossy de Palma,Àlex Casanovas;Pedro Almodóvar;;Comedy,Drama
568;Kim Vithana,Jimmi Harkishin,Sarita Khajuria,Akbar Kurtha,Mo Sesay;Gurinder Chadha;Gurinder Chadha,Meera Syal;Comedy,Drama
569;Luke Edwards,Timothy Busfield,John Ashton,Dennis Farina,Jonathan Silverman;Andrew Scheinman;Gregory K. Pincus ;Comedy,Family
570;Stellan Skarsgård,Jesper Salén,Basia Frydman,Niclas Olund,Ernst-Hugo Järegård;Åke Sandgren;Åke Sandgren;Drama
571;Julie Walters,Jim Broadbent;;;Drama,Foreign,Romance
572;Robin Givens,Marco Hofschneider,Rick Johnson,Charlotte Ross,Edward Herrmann;Eva Sereny;Menno Meyjes;Drama,Romance
573;Paolo Villaggio,Gigio Morra,Paolo Bonacelli;Lina Wertmüller;Leonardo Benvenuti;Comedy,Foreign
574;Jeremy Davies,Benjamin Hendrickson,Alberta Watson,Carla Gallo,Matthew Puckett;David O. Russell;David O. Russell;Comedy,Drama
575;Travis Tedford,Kevin Jamal Woods,Jordan Warkol,Zachary Mabry,Ross Bagley;Penelope Spheeris;;Romance,Comedy,Family
576;Jean Yanne,Ken Higelin,Florence Darel;Rémy Duchemin;;Comedy
577;Tina Majorino,Keith Carradine,Chelsea Field,Keith Szarabajka,Joshua Jackson;George T. Miller;;Drama,Family,Adventure
578;;;;Drama,Mystery
579;Claudio Amendola,Carlo Cecchi,Enrico Lo Verso,Ricky Memphis,Tony Sperandeo;Ricky Tognazzi;;Thriller,Crime,Drama
580;Jim Broadbent,Phoebe Cates,Kevin Kline,Stephen Rea,John Lithgow;Michael Austin;;Comedy,Drama,History,Mystery
581;Lily Tomlin,Armistead Maupin,Arthur Laurents,Susie Bright,Tom Hanks;Rob Epstein,Jeffrey Friedman;;History,Documentary
582;Vincent Cassel,Julie Mauduech,Hubert Koundé,Mathieu Kassovitz;Mathieu Kassovitz;;Drama,Comedy,Romance,Foreign
583;Nanni Moretti,Giovanna Bozzolo,Sebastiano Nardone,Antonio Petrocelli,Giulio Base;Nanni Moretti;Nanni Moretti;Comedy,Drama
584;Marcello Mastroianni,Luisina Brando,Alejandra Podesta,Betiana Blum,Roberto Carnaghi;Maria Luisa Bemberg;;Romance,Drama
585;Shelley Long,Gary Cole,Christine Taylor,Christopher Daniel Barnes,Jennifer Elise Cox;Betty Thomas;;Comedy
586;Macaulay Culkin,Joe Pesci,Daniel Stern,John Heard,Catherine O'Hara;Chris Columbus;;Comedy,Family
587;Patrick Swayze,Demi Moore,Tony Goldwyn,Whoopi Goldberg,Vincent Schiavelli;Jerry Zucker;;Fantasy,Drama,Thriller,Mystery,Romance
588;Scott Weinger,Robin Williams,Linda Larkin,Jonathan Freeman,Frank Welker;Ron Clements,John Musker;;Animation,Family,Comedy,Adventure,Fantasy,Romance
589;Arnold Schwarzenegger,Linda Hamilton,Edward Furlong,Robert Patrick,Earl Boen;James Cameron;William Wisher Jr.,James Cameron;Action,Thriller,Sci-Fi
590;Kevin Costner,Mary McDonnell,Graham Greene,Rodney A. Grant,Floyd Red Crow Westerman;Kevin Costner;;Adventure,Drama,Western
591;Roddy Piper,Billy Blanks,Richard Norton,James Karen,Gary Kasper;Steve Cohen;Otto C. Pozzo;Thriller,Action,Drama
592;Jack Nicholson,Michael Keaton,Kim Basinger,Michael Gough,Pat Hingle;Tim Burton;;Fantasy,Action
593;Jodie Foster,Anthony Hopkins,Scott Glenn,Ted Levine,Anthony Heald;Jonathan Demme;;Crime,Drama,Thriller
594;Adriana Caselotti,Lucille La Verne,Harry Stockwell,Roy Atwell,Pinto Colvig;David Hand;;Fantasy,Animation,Family
595;Paige O'Hara,Robby Benson,Richard White,Jerry Orbach,David Ogden Stiers;Gary Trousdale,Kirk Wise;;Romance,Family,Animation,Fantasy,Music
596;Mel Blanc,Don Brodie,Walter Catlett,Marion Darlington,Frankie Darro;Hamilton Luske,Ben Sharpsteen;;Animation,Family
597;Julia Roberts,Richard Gere,Ralph Bellamy,Jason Alexander,Héctor Elizondo;Garry Marshall;;Romance,Comedy
598;Viktor Mikhaylov,Nina Usatova,Agnès Soral,Sergei Dreiden,Kira Krejlis-Petrova;Yuri Mamin;Yuri Mamin,Arkadiy Tigay,Vladimir Vardunas;Comedy,Drama,Fantasy
599;Ernest Borgnine,William Holden,Robert Ryan,Edmond O'Brien,Warren Oates;Sam Peckinpah;;Adventure,Western
600;Gil Bellows,Renée Zellweger,Rory Cochrane,Jeffrey Combs,Jace Alexander;C.M. Talkington;C.M. Talkington;Crime,Thriller
601;Gu Bao-Ming,Mingjun Kao,Lan Wang,Yumei Wang,Fuli Wang;Huang Jianxin;Zhengguang Yang;Drama,Foreign,Romance
602;;Jean Bach;;
603;Matthew Modine,Paul Reiser,Randy Quaid,Janeane Garofalo,Eliza Dushku;Sam Weisman;Gary David Goldberg,Brad Hall;Comedy,Romance
604;;;;Documentary
605;Michelle Pfeiffer,George Clooney,Mae Whitman,Alex D. Linz,Charles Durning;Michael Hoffman;;Comedy,Romance
606;Tony Todd,Kelly Rowan,William O'Leary,Bill Nunn,David Gianopoulos;Bill Condon;;Horror
607;Charles Dance,Clive Owen,Miranda Richardson,Robert Stephens,Joan Hickson;Stephen Poliakoff;Stephen Poliakoff;Romance,Drama
608;William H. Macy,Frances McDormand,Steve Buscemi,Peter Stormare,Kristin Rudrüd;Joel Coen;;Crime,Drama,Thriller
609;Michael J. Fox,Sally Field,Ralph Waite,Robert Hays,Kim Greist;David R. Ellis;Sheila Burnford,Chris Hauty,Julie Hickson;Adventure,Comedy,Drama,Family
610;Rodger Bumpass,Jackie Burroughs,Joe Flaherty,Harold Ramis,John Candy;Gerald Potterton;;Animation,Sci-Fi
611;Bruce Ramsay,Valentina Vargas,Charlotte Chatton,Adam Scott,Kim Myers;Kevin Yagher;Peter Atkins;Horror,Thriller,Sci-Fi
612;David Schwimmer,Gwyneth Paltrow,Michael Rapaport,Toni Collette,Carol Kane;Matt Reeves;Jason Katims,Matt Reeves;Comedy,Romance
613;Anna Paquin,Charlotte Gainsbourg,William Hurt,Joan Plowright,Nic Knight;Franco Zeffirelli;;Drama,Romance
614;Oliver Milburn,Catherine McCormack,Thandie Newton,Danny Cunningham;Anna Campion;;Drama,Mystery,Thriller
615;Nino Manfredi,Johnny Dorelli,Anna Karina,Paolo Turco,Ugo D'Alessio;Franco Brusati;Franco Brusati,Nino Manfredi;Comedy,Foreign
616;Phil Harris,Sterling Holloway,Scatman Crothers,Eva Gabor,Paul Winchell;Wolfgang Reitherman;;Animation,Comedy,Family,Adventure
617;Marisa Paredes,Juan Echanove,Carme Elias,Rossy de Palma,Chus Lampreave;Pedro Almodóvar;;Drama,Romance
618;Antonio Banderas,Melanie Griffith,Daryl Hannah,Danny Aiello,Joan Cusack;Fernando Trueba;;Comedy,Romance
619;Matt LeBlanc,Jack Warden,Jayne Brook,Bill Cobbs,Jim Caviezel;Bill Couturié;;Comedy,Family
620;Donald Sutherland,Brad Dourif,Vittorio Mezzogiorno,Mathilda May,Al Waxman;Werner Herzog;Hans-Ulrich Klenner,Walter Saxer,Robert Geoffrion;Drama
621;Daniel Auteuil,Marthe Villalonga,Catherine Deneuve,Jean-Pierre Bouvier,Chiara Mastroianni;André Téchiné;Pascal Bonitzer,André Téchiné;Drama
623;Lisa Eichhorn,Stanley Tucci,Caroline Aaron,Mary Jo Salerno,Robert Joy;;;
624;James Russo,Cynda Williams,Paul Calderon,Victor Argo,Jonathan P. Shaw;Mika Kaurismäki;Andre Degas;Thriller,Action,Drama
625;Selim Boughedir,Mustafa Adouani,Rabia Ben Abdallah,Mohammed Driss;Férid Boughedir;Férid Boughedir,Nouri Bouzid,Maryse León García;Comedy,Drama
626;Lynn Whitfield,Martin Lawrence,Regina King,Della Reese,Bobby Brown;Martin Lawrence;;Comedy,Thriller,Crime,Romance
627;Cameron Diaz,Ron Eldard,Courtney B. Vance,Bill Paxton,Ron Perlman;Stacy Title;;Comedy,Thriller,Crime,Drama
628;Richard Gere,Edward Norton,Laura Linney,John Mahoney,Frances McDormand;Gregory Hoblit;;Crime,Drama,Mystery,Thriller
629;;Clément Virgo;;
630;Dennis Hopper,Amy Irving,Amy Locane,Julie Harris,Gary Busey;Bruno Barreto;Ed Jones;Drama,Romance
631;Ernest Borgnine,Bebe Neuwirth,Charlie Sheen,Hamilton Camp,Steve Mackall;Larry Leker,Paul Sabella;Mark Young,Kelly Ward;Romance,Animation,Family,Adventure,Fantasy
632;Ian Hart,Rosana Pastor,Frédéric Pierrot,Icíar Bollaín,Tom Gilroy;Ken Loach;Jim Allen;Drama,History,War,Romance
633;Tim Daly,Caroleen Feeney,Dan Gunther,Dana Wheeler-Nicholson,Liev Schreiber;Hal Salwen;Hal Salwen;Comedy
634;Whoopi Goldberg,George Newbern,Richard Roundtree,Carol Kane,Armin Mueller-Stahl;Jonathan R. Betuel;Jonathan R. Betuel;Fantasy,Sci-Fi,Family
635;Robert Duvall,James Earl Jones,Michael Beach,Irma P. Hall,Grace Zabriskie;Richard Pearce;Billy Bob Thornton,Tom Epperson;Comedy,Drama
636;Michael Gunther,Craig Chester,Michael Stock,Raoul O'Connell,Jaie Laplante;Todd Verow;;Drama,Thriller
637;Steve Martin,Dan Aykroyd,Phil Hartman,Glenne Headly,Daryl Mitchell;Jonathan Lynn;;Comedy,Family
638;Richard E. Grant,Samantha Mathis,Judi Dench,Eileen Atkins,Cherie Lunghi;Tim Sullivan;;Comedy,Drama,Romance
639;Theresa Randle,Isaiah Washington,Spike Lee,Jenifer Lewis,Debi Mazar;Spike Lee;Suzan-Lori Parks;Comedy
640;Sharon Stone,Isabelle Adjani,Chazz Palminteri,Kathy Bates,Spalding Gray;Jeremiah S. Chechik;;Drama,Horror,Mystery,Thriller
641;Patrick Timsit,Ludwig Briand,Miou-Miou,Thierry Lhermitte,Adrielle Dombasle;Hervé Palud;;Adventure,Drama,Comedy,Family
642;Anica Dobra,Martin Umbach,Tina Hamperl,Ernst Jacobi,Felicitas Grimm-Luck;Martin Enlen;Martin Enlen,Bernd Mollenhauer;Romance,Drama
643;Ulrich Mühe,Iris Berben,Marita Marschall,Rufus Beck,Rüdiger Vogler;Carlo Rola;;Comedy
644;Erik Goertz,Anton Rattinger,Dieter Wardetzky,Isabel Trimborn,Ralf Richter;;;Comedy
645;Emmanuelle Béart,Michel Serrault,Jean-Hugues Anglade,Claire Nadeau,Michael Lonsdale;Claude Sautet;;Drama,Romance
647;Denzel Washington,Meg Ryan,Lou Diamond Phillips,Matt Damon,Michael Moriarty;Edward Zwick;;Drama,Thriller,Mystery,War
648;Tom Cruise,Jon Voight,Emmanuelle Béart,Henry Czerny,Jean Reno;Brian De Palma;;Adventure,Action,Thriller
649;Masatoshi Nagase,Lili Taylor,Fisher Stevens,Gísli Halldórsson,Laura Hughes;Friðrik Þór Friðriksson;;Drama,Comedy
650;Robin Wright,Morgan Freeman,Stockard Channing,John Lynch,Brenda Fricker;Pen Densham;;Drama,Romance
651;Veronica Ferres,Til Schweiger,Joachim Król,Liselotte Pulver,Thomas Heinze;Sönke Wortmann;;Comedy
652;Bang Eun-jin,Chu-Ryun Kim,Hwang Shin-hye;Park Chul-soo;Suh-Goon Lee;Horror,Mystery,Thriller
653;Dennis Quaid,David Thewlis,Pete Postlethwaite,Dina Meyer,Julie Christie;Rob Cohen;;Fantasy
654;Peter Ketnath,Nina Hoss,Steffen Schroeder,Susanna Wellenbrink,Andreas Nickl;Joseph Vilsmaier;;Drama
655;George Tabori,Pauline Collins,Ulrich Tukur,Heribert Sasse,Buddy Elias;Michael Verhoeven;George Tabori;Drama
656;Whoopi Goldberg,Frank Langella,Dennis Farina,Richard Jenkins,Lisa Ann Walter;Steve Rash;;Action,Comedy
657;Leon Schuster,John Matshikiza,Wilson Dunster,Terri Treas,Michelle Bowes;Gray Hofmeyr;Leon Schuster,Craig Gardner,Gray Hofmeyr;Drama,Comedy
658;Max Cullen,Kris McQuade,Tina Bursill,Drew Forsythe,Genevieve Lemon;Richard Wherrett;Denis Whitburn;
659;Alain Delon,Maurice Ronet,Marie Laforêt,Erno Crisa,Frank Latimore;René Clément;;Crime,Drama,Thriller
660;Anthony Hopkins,Leslie Phillips,Kate Burton,Gawn Grainger,Rhian Morgan;Anthony Hopkins;;Romance,Comedy,Drama
661;Miriam Margolyes,Joanna Lumley,Pete Postlethwaite,Susan Sarandon,Richard Dreyfuss;Henry Selick;;Adventure,Animation,Family
662;Mark Wahlberg,Reese Witherspoon,William Petersen,Alyssa Milano,Amy Brenneman;James Foley;;Drama,Thriller,Romance
663;Dave Foley,Bruce McCulloch,Kevin McDonald,Mark McKinney,Scott Thompson;Kelly Makin;Mark McKinney,Scott Thompson,Norm Hiscock,Bruce McCulloch,Kevin McDonald;Comedy
664;Cher,Chazz Palminteri,Ryan O'Neal,Paul Mazursky,Amber Smith;Paul Mazursky;;Comedy,Crime,Drama
665;Predrag 'Miki' Manojlovic,Lazar Ristovski,Mirjana Joković,Slavko Štimac,Ernst Stötzner;Emir Kusturica;Emir Kusturica;War,Comedy,Drama
666;Johan Widerberg,Marika Lagercrantz,Tomas von Brömssen,Karin Huldt,Nina Gunke;Bo Widerberg;;War,Drama,Romance
667;Daniel Bernhardt,Pat Morita,Donald Gibb,James Hong,Lori Lynn Dickerson;Alan Mehrez;Jeff Schechter;Action,Thriller
668;Uma Das Gupta,Subir Banerjee,Chunibala Devi,Kanu Bannerjee,Karuna Bannerjee;Satyajit Ray;;Drama
670;Soumitra Chatterjee,Sharmila Tagore,Alok Chakravarty,Swapan Mukherjee,Dhiresh Majumdar;Satyajit Ray;;Drama
671;Michael J. Nelson,Trace Beaulieu,Jim Mallon,Kevin Murphy,John Brady;Jim Mallon;Michael J. Nelson,Trace Beaulieu,Jim Mallon,Kevin Murphy,Mary Jo Pehl,Paul Chaplin,Bridget Jones Nelson,Joel Hodgson;Comedy,Sci-Fi
672;;;;Drama
673;Michael Jordan,Wayne Knight,Billy West,Dee Bradley Baker,Theresa Randle;Joe Pytka;Leo Benvenuti,Steve Rudnick,Timothy Harris,Herschel Weingrod;Animation,Comedy,Drama,Family,Fantasy
674;Jane Fonda,John Phillip Law,Anita Pallenberg,Marcel Marceau,Claude Dauphin;Roger Vadim;Claude Brulé,Vittorio Bonicelli,Clement Biddle Wood,Brian Degas,Tudor Gates;Sci-Fi
675;Tia Carrere,Rigg Kennedy,Lisa Dean Ryan,Tricia Leigh Fisher,Carlos Gómez;Catherine Cyran;;Thriller,Action,Drama
676;Donna Frotscher,Nick Baldasare,Christina Veronica,Charlie Barnett,Ron Jeremy;Brett Piper;;Comedy,Horror,Sci-Fi
678;Billy Bob Thornton,Molly Ringwald,J. T. Walsh;George Hickenlooper;;Drama,Thriller
679;Albert Finney,Matt Keeslar,Victoria Smurfit,Anthony Brophy,David Kelly;Peter Yates;;Drama,Romance
680;Eddie Constantine,Anna Karina,Akim Tamiroff,Howard Vernon,Christa Lang;Jean-Luc Godard;;Drama,Sci-Fi,Mystery
681;Philippe Noiret,Isabelle Huppert,Jean-Pierre Marielle,Stéphane Audran,Eddy Mitchell;Bertrand Tavernier;Jean Aurenche,Bertrand Tavernier;Drama
682;Jim Jarmusch,Samuel Fuller;Mika Kaurismäki;;Documentary,Foreign
683;;Claude Chabrol;;
684;Talia Shire,Elizabeth Ashley,Joe Cortese,Kay Medford,Michael Gorrin;Gordon Willis;Barry Siegel;Horror,Drama,Thriller
685;Eric Roberts,Gregory Harrison,Lee Grant,Olivia Newton-John,Margaret Cho;Randal Kleiser;;Drama
687;Greta Scacchi,Kerry Fox,Sam Neill,John Hargreaves;Michael Blakemore;;Drama,Romance
688;Danny Glover,Ray Liotta,Denis Leary,Doug E. Doug,Corin Nemec;Simon Wincer;Jim Kouf,Gene Quintano;Action,Adventure,Comedy,Family
690;Corinna Harfouch,Meret Becker,August Zirner,Eva Mattes,Hark Bohm;Margarethe von Trotta;Peter Schneider,Felice Laudadio,Margarethe von Trotta;Drama,Romance
691;Shirley MacLaine,Ricki Lake,Brendan Fraser,Jane Krakowski,Loren Dean;Richard Benjamin;;Comedy,Romance,Drama
692;Mario Van Peebles,Barry Corbin,William Sadler,Jaime Osorio Gómez,Demián Bichir;Norberto Barba;;Action,Adventure,Sci-Fi,Thriller
693;;Eli Cohen;;Drama,Foreign
694;Tom Berenger,Raymond Cruz,Marc Anthony,William Forsythe,Luis Guzmán;Robert Mandel;;Action,Thriller
695;Alicia Silverstone,Kevin Dillon,Bill Nunn,Tara Subkoff,Michael Bowen;Pat Verducci;Pat Verducci;Crime,Mystery,Thriller
696;Amanda Plummer,Saskia Reeves,Kathy Jamieson,Des McAleer,Lisa Riley;Michael Winterbottom;Frank Cottrell Boyce;Thriller,Drama,Comedy
697;Keanu Reeves,Cameron Diaz,Vincent D'Onofrio,Delroy Lindo,Dan Aykroyd;Steven Baigelman;;Action,Comedy,Drama,Thriller
698;Audie England,Costas Mandylor,Bernard Zette,Eric Da Silva,Rory Campbell;Zalman King;;Drama,Romance
