movieid;cast;director;writer;genres
636;Michael Gunther,Craig Chester,Michael Stock,Raoul O'Connell,Jaie Laplante;Todd Verow;;Drama,Thriller
637;Steve Martin,Dan Aykroyd,Phil Hartman,Glenne Headly,Daryl Mitchell;Jonathan Lynn;;Comedy,Family
638;Richard E. Grant,Samantha Mathis,Judi Dench,Eileen Atkins,Cherie Lunghi;Tim Sullivan;;Comedy,Drama,Romance
639;Theresa Randle,Isaiah Washington,Spike Lee,Jenifer Lewis,Debi Mazar;Spike Lee;Suzan-Lori Parks;Comedy
640;Sharon Stone,Isabelle Adjani,Chazz Palminteri,Kathy Bates,Spalding Gray;Jeremiah S. Chechik;;Drama,Horror,Mystery,Thriller
641;Patrick Timsit,Ludwig Briand,Miou-Miou,Thierry Lhermitte,Adrielle Dombasle;Hervé Palud;;Adventure,Drama,Comedy,Family
642;Anica Dobra,Martin Umbach,Tina Hamperl,Ernst Jacobi,Felicitas Grimm-Luck;Martin Enlen;Martin Enlen,Bernd Mollenhauer;Romance,Drama
643;Ulrich Mühe,Iris Berben,Marita Marschall,Rufus Beck,Rüdiger Vogler;Carlo Rola;;Comedy
644;Erik Goertz,Anton Rattinger,Dieter Wardetzky,Isabel Trimborn,Ralf Richter;;;Comedy
645;Emmanuelle Béart,Michel Serrault,Jean-Hugues Anglade,Claire Nadeau,Michael Lonsdale;Claude Sautet;;Drama,Romance
647;Denzel Washington,Meg Ryan,Lou Diamond Phillips,Matt Damon,Michael Moriarty;Edward Zwick;;Drama,Thriller,Mystery,War
648;Tom Cruise,Jon Voight,Emmanuelle Béart,Henry Czerny,Jean Reno;Brian De Palma;;Adventure,Action,Thriller
649;Masatoshi Nagase,Lili Taylor,Fisher Stevens,Gísli Halldórsson,Laura Hughes;Friðrik Þór Friðriksson;;Drama,Comedy
650;Robin Wright,Morgan Freeman,Stockard Channing,John Lynch,Brenda Fricker;Pen Densham;;Drama,Romance
651;Veronica Ferres,Til Schweiger,Joachim Król,Liselotte Pulver,Thomas Heinze;Sönke Wortmann;;Comedy
652;Bang Eun-jin,Chu-Ryun Kim,Hwang Shin-hye;Park Chul-soo;Suh-Goon Lee;Horror,Mystery,Thriller
653;Dennis Quaid,David Thewlis,Pete Postlethwaite,Dina Meyer,Julie Christie;Rob Cohen;;Fantasy
654;Peter Ketnath,Nina Hoss,Steffen Schroeder,Susanna Wellenbrink,Andreas Nickl;Joseph Vilsmaier;;Drama
655;George Tabori,Pauline Collins,Ulrich Tukur,Heribert Sasse,Buddy Elias;Michael Verhoeven;George Tabori;Drama
656;Whoopi Goldberg,Frank Langella,Dennis Farina,Richard Jenkins,Lisa Ann Walter;Steve Rash;;Action,Comedy
657;Leon Schuster,John Matshikiza,Wilson Dunster,Terri Treas,Michelle Bowes;Gray Hofmeyr;Leon Schuster,Craig Gardner,Gray Hofmeyr;Drama,Comedy
658;Max Cullen,Kris McQuade,Tina Bursill,Drew Forsythe,Genevieve Lemon;Richard Wherrett;Denis Whitburn;
659;Alain Delon,Maurice Ronet,Marie Laforêt,Erno Crisa,Frank Latimore;René Clément;;Crime,Drama,Thriller
660;Anthony Hopkins,Leslie Phillips,Kate Burton,Gawn Grainger,Rhian Morgan;Anthony Hopkins;;Romance,Comedy,Drama
661;Miriam Margolyes,Joanna Lumley,Pete Postlethwaite,Susan Sarandon,Richard Dreyfuss;Henry Selick;;Adventure,Animation,Family
662;Mark Wahlberg,Reese Witherspoon,William Petersen,Alyssa Milano,Amy Brenneman;James Foley;;Drama,Thriller,Romance
663;Dave Foley,Bruce McCulloch,Kevin McDonald,Mark McKinney,Scott Thompson;Kelly Makin;Mark McKinney,Scott Thompson,Norm Hiscock,Bruce McCulloch,Kevin McDonald;Comedy
664;Cher,Chazz Palminteri,Ryan O'Neal,Paul Mazursky,Amber Smith;Paul Mazursky;;Comedy,Crime,Drama
665;Predrag 'Miki' Manojlovic,Lazar Ristovski,Mirjana Joković,Slavko Štimac,Ernst Stötzner;Emir Kusturica;Emir Kusturica;War,Comedy,Drama
666;Johan Widerberg,Marika Lagercrantz,Tomas von Brömssen,Karin Huldt,Nina Gunke;Bo Widerberg;;War,Drama,Romance
667;Daniel Bernhardt,Pat Morita,Donald Gibb,James Hong,Lori Lynn Dickerson;Alan Mehrez;Jeff Schechter;Action,Thriller
668;Uma Das Gupta,Subir Banerjee,Chunibala Devi,Kanu Bannerjee,Karuna Bannerjee;Satyajit Ray;;Drama
670;Soumitra Chatterjee,Sharmila Tagore,Alok Chakravarty,Swapan Mukherjee,Dhiresh Majumdar;Satyajit Ray;;Drama
671;Michael J. Nelson,Trace Beaulieu,Jim Mallon,Kevin Murphy,John Brady;Jim Mallon;Michael J. Nelson,Trace Beaulieu,Jim Mallon,Kevin Murphy,Mary Jo Pehl,Paul Chaplin,Bridget Jones Nelson,Joel Hodgson;Comedy,Sci-Fi
672;;;;Drama
673;Michael Jordan,Wayne Knight,Billy West,Dee Bradley Baker,Theresa Randle;Joe Pytka;Leo Benvenuti,Steve Rudnick,Timothy Harris,Herschel Weingrod;Animation,Comedy,Drama,Family,Fantasy
674;Jane Fonda,John Phillip Law,Anita Pallenberg,Marcel Marceau,Claude Dauphin;Roger Vadim;Claude Brulé,Vittorio Bonicelli,Clement Biddle Wood,Brian Degas,Tudor Gates;Sci-Fi
675;Tia Carrere,Rigg Kennedy,Lisa Dean Ryan,Tricia Leigh Fisher,Carlos Gómez;Catherine Cyran;;Thriller,Action,Drama
676;Donna Frotscher,Nick Baldasare,Christina Veronica,Charlie Barnett,Ron Jeremy;Brett Piper;;Comedy,Horror,Sci-Fi
678;Billy Bob Thornton,Molly Ringwald,J. T. Walsh;George Hickenlooper;;Drama,Thriller
679;Albert Finney,Matt Keeslar,Victoria Smurfit,Anthony Brophy,David Kelly;Peter Yates;;Drama,Romance
680;Eddie Constantine,Anna Karina,Akim Tamiroff,Howard Vernon,Christa Lang;Jean-Luc Godard;;Drama,Sci-Fi,Mystery
681;Philippe Noiret,Isabelle Huppert,Jean-Pierre Marielle,Stéphane Audran,Eddy Mitchell;Bertrand Tavernier;Jean Aurenche,Bertrand Tavernier;Drama
682;Jim Jarmusch,Samuel Fuller;Mika Kaurismäki;;Documentary,Foreign
683;;Claude Chabrol;;
684;Talia Shire,Elizabeth Ashley,Joe Cortese,Kay Medford,Michael Gorrin;Gordon Willis;Barry Siegel;Horror,Drama,Thriller
685;Eric Roberts,Gregory Harrison,Lee Grant,Olivia Newton-John,Margaret Cho;Randal Kleiser;;Drama
687;Greta Scacchi,Kerry Fox,Sam Neill,John Hargreaves;Michael Blakemore;;Drama,Romance
688;Danny Glover,Ray Liotta,Denis Leary,Doug E. Doug,Corin Nemec;Simon Wincer;Jim Kouf,Gene Quintano;Action,Adventure,Comedy,Family
690;Corinna Harfouch,Meret Becker,August Zirner,Eva Mattes,Hark Bohm;Margarethe von Trotta;Peter Schneider,Felice Laudadio,Margarethe von Trotta;Drama,Romance
691;Shirley MacLaine,Ricki Lake,Brendan Fraser,Jane Krakowski,Loren Dean;Richard Benjamin;;Comedy,Romance,Drama
692;Mario Van Peebles,Barry Corbin,William Sadler,Jaime Osorio Gómez,Demián Bichir;Norberto Barba;;Action,Adventure,Sci-Fi,Thriller
693;;Eli Cohen;;Drama,Foreign
694;Tom Berenger,Raymond Cruz,Marc Anthony,William Forsythe,Luis Guzmán;Robert Mandel;;Action,Thriller
695;Alicia Silverstone,Kevin Dillon,Bill Nunn,Tara Subkoff,Michael Bowen;Pat Verducci;Pat Verducci;Crime,Mystery,Thriller
696;Amanda Plummer,Saskia Reeves,Kathy Jamieson,Des McAleer,Lisa Riley;Michael Winterbottom;Frank Cottrell Boyce;Thriller,Drama,Comedy
697;Keanu Reeves,Cameron Diaz,Vincent D'Onofrio,Delroy Lindo,Dan Aykroyd;Steven Baigelman;;Action,Comedy,Drama,Thriller
698;Audie England,Costas Mandylor,Bernard Zette,Eric Da Silva,Rory Campbell;Zalman King;;Drama,Romance
699;Billy Burke,Jeffrey Dean Morgan,Lorraine Devon Wilke,Patricia Royce,David Crosby;Barry Caillier;Lorraine Devon Wilke,Patricia Royce;
700;Perry Anzilotti,Kathy Bates,Robert Curtis Brown,Kevin Connolly,Tony Denman;Patrick Read Johnson;;Comedy,Drama,Family,Romance
701;Jan Decleir,Gérard Desarthe,Antje De Boeck,Michael Pas,Karel Baetens;Stijn Coninx;;Drama,History
702;Gena Rowlands,John Marley,Lynn Carlin,Seymour Cassel,Fred Draper;John Cassavetes;;Drama
703;Winona Ryder,Lukas Haas,John C. Reilly,James Le Gros,Skeet Ulrich;Stacy Cochran;James Salter,Stacy Cochran;Romance,Drama,Mystery
704;Jean-Claude Van Damme,Roger Moore,James Remar,Jack McGee,Louis Mandylor;Jean-Claude Van Damme;;Action,Adventure
705;Ben Mendelsohn,Barry Otto,Toni Collette,Rachel Griffiths,Aden Young;Mark Joffe;Louis Nowra;Comedy,Romance
706;Rhea Perlman,Fredro Starr,Carol Kane,Terrence Howard,Camille Saviola;Steve Gomer;Seth Zvi Rosenfeld,Kathleen McGhee-Anderson;Drama
707;Nick Nolte,Melanie Griffith,Chazz Palminteri,Michael Madsen,Chris Penn;Lee Tamahori;;Drama,Mystery,Thriller
708;Uma Thurman,Jamie Foxx,Janeane Garofalo,Ben Chaplin,James McCaffrey;Michael Lehmann;;Comedy,Romance
709;Joey Lawrence,Billy Joel,Cheech Marin,Richard Mulligan,Roscoe Lee Browne;George Scribner;;Animation,Comedy,Family
710;Damon Wayans,Daniel Stern,Christopher McDonald,Gail O'Grady,Paul Guilfoyle;Tom DeCerchio;Judd Apatow;Comedy
711;Elijah Wood,Paul Hogan,Jonathan Banks,Jason Fuchs,Robert Deacon;Alan Shapiro;;Adventure,Family
712;Julia Ormond,Tim Roth,Colin Salmon,Keith Allen,Mark Strong;Angela Pope;Frank Deasy;Drama,Thriller,Mystery,Romance
713;Jennifer Connelly,Antonio Banderas,Stefania Sandrelli,Diego Wallraff,Camilo Gallardo;Betty Kaplan;Isabel Allende,Donald Freed;Drama
714;Johnny Depp,Gary Farmer,Crispin Glover,Lance Henriksen,Michael Wincott;Jim Jarmusch;;Drama,Fantasy,Western
715;Juliette Binoche,Olivier Martinez,Pierre Arditi,François Cluzet,Gérard Depardieu;Jean-Paul Rappeneau;;War,Adventure,Drama,Romance
716;Joanne Nail,Robbie Lee,Asher Brauner,Chase Newhart,Monica Gayle;Jack Hill ;;Action,Crime,Drama
717;Javier Bardem,Aitana Sánchez-Gijón,Josep Maria Flotats,María Barranco,Myriam Mézières;Manuel Gómez Pereira;;Comedy,Foreign
718;Jean Reno,Valérie Lemercier,Christian Clavier,Marie-Anne Chazel,Christian Bujeau;Jean-Marie Poiré;;Fantasy,Comedy,Sci-Fi
719;Michael Keaton,Andie MacDowell,Harris Yulin,Eugene Levy,Zack Duhame;Harold Ramis;;Comedy,Fantasy,Sci-Fi
720;;;;Adventure,Animation,Comedy
721;;;;Drama
722;Maila Nurmi,Dolores Fuller,Paul Marco,Lugosi Béla,Bela Lugosi Jr.;Brett Thompson;;Documentary
723;Francesco Sframeli,Spiro Scimone;Francesco Sframeli,Spiro Scimone;Spiro Scimone;Drama,Foreign
724;Fairuza Balk,Neve Campbell,Robin Tunney,Rachel True,Skeet Ulrich;Andrew Fleming;;Fantasy,Drama,Horror,Thriller
725;Samuel L. Jackson,Jeff Goldblum,Peter Berg,Jon Lovitz,Jamie Foxx;Reginald Hudlin;Tony Hendra	,Ron Shelton;Comedy,Drama
726;Sharon Stone,Rob Morrow,Randy Quaid,Peter Gallagher,Jack Thompson;Bruce Beresford;Steven Haft,Ron Koslow;Drama,Thriller
727;;;;Documentary
728;Eileen Atkins,Kate Beckinsale,Sheila Burrell,Stephen Fry,Freddie Jones;John Schlesinger;Malcolm Bradbury;Comedy,Drama,Romance
729;Alice Krige,Mark Rylance,Gottfried John,Daniel Smith;Stephen Quay,Timothy Quay;Timothy Quay,Stephen Quay,Alan Passes;Animation,Drama
730;;;;Drama
731;Alec Baldwin,Kelly Lynch,Eric Roberts,Teri Hatcher,Mary Stuart Masterson;Phil Joanou;;Drama,Mystery,Thriller
732;Fred Williamson,Pam Grier,Jim Brown,Paul Winfield,Isabel Sanford;Larry Cohen;Aubrey K. Rattan;Thriller,Action,Crime,Drama
733;Sean Connery,Nicolas Cage,Ed Harris,John Spencer,David Morse;Michael Bay;;Action,Adventure,Thriller
734;Jack Lemmon,Dan Aykroyd,Bonnie Hunt,J.C. Quinn,Jerry Adler;Harvey Miller;;Comedy
735;Rupert Everett,François Hadji-Lazaro,Anna Falchi,Fabiana Formica,Mickey Knox;Michele Soavi;Gianni Romoli;Drama,Horror,Comedy
736;Helen Hunt,Bill Paxton,Cary Elwes,Jami Gertz,Philip Seymour Hoffman;Jan de Bont;;Action,Adventure,Drama
737;Pamela Anderson,Temuera Morrison,Victoria Rowell,Jack Noseworthy,Udo Kier;David Hogan;;Action,Sci-Fi
738;Gérard Depardieu,Géraldine Pailhas,Dominique Rocheteau,Fabienne Babe,Elisabeth Depardieu;Maurice Pialat;;Drama
739;;;;Comedy
741;Atsuko Tanaka,Iemasa Kayumi,Tamio Ohki,Akio Ôtsuka,Kôichi Yamadera;Mamoru Oshii;;Action,Animation,Sci-Fi
742;Robert John Burke,Joe Mantegna,Lucinda Jenney,Michael Constantine,Kari Wuhrer;Tom Holland;;Horror,Thriller
743;Leslie Nielsen,Nicollette Sheridan,Charles Durning,Marcia Gay Harden,Barry Bostwick;Rick Friedberg;;Action,Comedy
744;Om Puri,Angeline Ball,Ace Bhatti,Bhasker Patel,Pavan Malhotra;Udayan Prasad;Robert Buckler;Comedy,Drama
745;Peter Sallis,Anne Reid;Nick Park;Bob Baker,Nick Park;Family,Animation,Comedy
746;John Garfield,Thomas Gomez,Marie Windsor,Howland Chamberlain,Roy Roberts;Abraham Polonsky;;Drama,Action,Crime
747;Tom Arnold,Jessica Lundy,Bug Hall,Alex McKenna,Mark Metcalf;John Landis;;Comedy,Family
748;Charlie Sheen,Lindsay Crouse,Richard Schiff,Ron Silver,Teri Polo;David Twohy;;Action,Mystery,Sci-Fi,Thriller
749;Charles Laughton,Binnie Barnes,Richard Carlson,Donna Reed,Christopher Severn;Robert Z. Leonard;Wells Root,Tom Seller;Drama,War
750;Peter Sellers,George C. Scott,Sterling Hayden,Keenan Wynn,Slim Pickens;Stanley Kubrick;;Drama,Comedy,War
751;Kyle McCulloch,Gosia Dobrowolska,Sarah Neville,Brent Neale,Paul Cox;Guy Maddin;;Comedy,Drama
752;George Thrush,Marya Cohn,Ann O'Brien;John O'Brien;John O'Brien;
753;Vanessa Redgrave,Edward Fox,Uma Thurman,Alida Valli,Carlo Cartier;John Irvin;Trevor Bentham;Comedy,Drama,Romance
754;Christina Ricci,Anna Chlumsky,Polly Draper,Brian Kerwin,Diana Scarwid;Kevin James Dobson;Barry Glasser;Drama,Adventure,Family
755;Errol Flynn,Dean Stockwell,Paul Lukas,Robert Douglas,Thomas Gomez;Victor Saville;;Family,Adventure
756;Carmen Miranda,Aurora Miranda,Cesar Romero,Rita Moreno,Alice Faye;Helena Solberg;;Documentary
757;Leslie Cheung,Tony Leung Ka-Fai,Brigitte Lin,Jacky Cheung,Tony Leung Chiu-Wai;Wong Kar-wai;;Drama,Action
758;Behzad Khodaveisi,Fatemeh Azrah;Ebrahim Forouzesh;;
759;;Freida Lee Mock;;Documentary
760;Dominique Horwitz,Thomas Kretschmann,Jochen Nickel,Sebastian Rudolph,Dana Vávrová;Joseph Vilsmaier;;Drama,History,War
761;Billy Zane,Kristy Swanson,Treat Williams,Catherine Zeta-Jones,James Remar;Simon Wincer;;Adventure,Action
762;Demi Moore,Burt Reynolds,Armand Assante,Ving Rhames,Robert Patrick;Andrew Bergman;;Drama,Thriller,Crime
763;Catherine O'Hara,Jared Leto,Christina Ricci,Gabriel Byrne,Stephen Rea;David Keating;;Drama,Comedy
764;Liv Tyler,Pruitt Taylor Vince,Shelley Winters,Deborah Harry,Joe Grifasi;James Mangold;James Mangold;Drama,Romance
765;Robin Williams,Diane Lane,Brian Kerwin,Jennifer Lopez,Bill Cosby;Francis Ford Coppola;;Comedy,Drama,Sci-Fi
766;Lili Taylor,Jared Harris,Stephen Dorff,Martha Plimpton,Danny Morgenstern;Mary Harron;Mary Harron,Daniel Minahan;Drama
767;Piper Laurie,Sissy Spacek,Walter Matthau,Edward Furlong,Nell Carter;Charles Matthau;;Comedy,Drama,Family
768;Tom Conti,Predrag 'Miki' Manojlovic;Goran Paskaljević;;
769;;;;Documentary
770;;;;Drama
771;Papa Wemba,Landu Nzunzimbu Matshia,Bibi Krubwa;Mwezé Ngangura,Benoît Lamy;;Music,Romance
772;;Jean-Pierre Bekolo;;
773;Magaye Niang,Aminata Fall,Ousseynou Diop,Josephine Baker,Christoph Colomb;Djibril Diop Mambéty;Djibril Diop Mambéty;Drama,Romance
774;Serge Yanogo,Rosine Yanogo,Joseph Nikiema,Colette Kaboré,Simone Tapsoba;Gaston Kaboré;;Drama
775;Brigitte Bardot,Alain Delon,Jane Fonda,Terence Stamp,Peter Fonda;Federico Fellini,Louis Malle,Roger Vadim;;Drama,Horror,Mystery,Foreign
776;;Henry Jaglom,Victoria Foyt;;
777;Chris Cooper,Patricia Clarkson,Kris Kristofferson,Robert Joy,Richard Tyson;Robby Henson;Robby Henson;Western,Drama,War
778;Ewan McGregor,Ewen Bremner,Jonny Lee Miller,Robert Carlyle,Kelly Macdonald;Danny Boyle;;Drama,Crime
779;Sarah Jessica Parker,Jeanne Tripplehorn,Dylan McDermott,Karen Allen,Kale Browne;Scott Winant;Winnie Holzman;Comedy,Romance
780;Will Smith,Bill Pullman,Jeff Goldblum,Mary McDonnell,Judd Hirsch;Roland Emmerich;;Action,Adventure,Sci-Fi
781;Liv Tyler,Sinéad Cusack,Jeremy Irons,Carlo Cecchi,Donal McCann;Bernardo Bertolucci;Susan Minot,Bernardo Bertolucci;Drama,Romance
782;Robert De Niro,Wesley Snipes,Ellen Barkin,John Leguizamo,Benicio del Toro;Tony Scott;;Drama,Mystery,Thriller
783;Tom Hulce,Demi Moore,Heidi Mollenhauer,Tony Jay,Kevin Kline;Gary Trousdale,Kirk Wise;;Family,Fantasy,Animation
784;Jim Carrey,Matthew Broderick,Leslie Mann,Jack Black,George Segal;Ben Stiller;;Comedy,Drama,Thriller
785;Woody Harrelson,Randy Quaid,Vanessa Angel,Bill Murray,Chris Elliott;Bobby Farrelly,Peter Farrelly;;Comedy
786;Arnold Schwarzenegger,James Caan,Vanessa Williams,James Coburn,Robert Pastorelli;Chuck Russell;Tony Puryear,Walon Green,Michael S. Chernuchin;Action,Drama,Mystery,Thriller
787;;Carma Hinton,Richard Gordon;;Documentary
788;Eddie Murphy,Jada Pinkett Smith,James Coburn,Larry Miller,Dave Chappelle;Tom Shadyac;;Fantasy,Comedy,Romance,Sci-Fi
789;Assumpta Serna,Dominique Sanda,Héctor Alterio,Lautaro Murúa;Maria Luisa Bemberg;;Drama,Foreign
790;Kristin Scott Thomas,Claudiu Bleont,Olga Tudorache,George Constantin,Ion Pavlescu;Lucian Pintilie;Lucian Pintilie;Drama,Romance,War
791;;;;Documentary
792;;Gyula Gazdag;;
793;Sami Frey;Gérard Mordillat;;
794;Alex del Rosario,Soxy Topacio,John Mendoza;Mel Chionglo;;
795;Rosie Perez,Harvey Keitel,Anthony Quinn,Michael DeLorenzo,Steve Buscemi;Alexandre Rockwell;Alexandre Rockwell,Sergey Bodrov;Comedy,Drama
796;Robert McLane,Curt Gareth,Bo White,Anthony McKay;Christopher Larkin;;Drama
797;Jeanne Moreau,Michel Serrault,Luc Thuillier,Géraldine Danon,Pratapan Nagaratnam;Laurent Heynemann  ;Dominique Roulet;Comedy
798;Sylvester Stallone,Amy Brenneman,Viggo Mortensen,Dan Hedaya,Jay O. Sanders;Rob Cohen;;Action,Adventure,Thriller
799;Michael J. Fox,Jeffrey Combs,Jake Busey,Chi McBride,Trini Alvarado;Peter Jackson;;Horror,Comedy
800;Chris Cooper,Matthew McConaughey,Elizabeth Peña,Kris Kristofferson,Joe Morton;John Sayles;John Sayles;Drama,Mystery,Romance
801;Michelle Trachtenberg,Rosie O'Donnell,J. Smith-Cameron,Eartha Kitt,Vanessa Lee Chester;Bronwen Hughes;;Comedy,Drama,Family
802;John Travolta,Kyra Sedgwick,Forest Whitaker,Robert Duvall,Jeffrey DeMunn;Jon Turteltaub;;Drama,Fantasy,Romance,Sci-Fi
803;Liev Schreiber,Randall Batinkoff,Catherine Keener,Anne Heche,Amy Braverman;Nicole Holofcener;;Comedy,Drama,Romance
804;Edward Burns,Michael McGlone,Cameron Diaz,Jennifer Aniston,John Mahoney;Edward Burns;;Comedy,Romance
805;Matthew McConaughey,Sandra Bullock,Samuel L. Jackson,Kevin Spacey,Oliver Platt;Joel Schumacher;;Crime,Drama,Thriller
806;Dustin Hoffman,Dennis Franz,Sean Nelson;Michael Corrente;;Drama
807;Clara Bellar,Antoine Basler,Mathias Mégard,Judith Chancel,Malcolm Conrath;Éric Rohmer;Éric Rohmer;Romance,Comedy
808;Thora Birch,Vincent Kartheiser,Dirk Benedict,Ben Cardinal,Kristin Lehman;Fraser Clarke Heston;Andy Burg,Scott Myers;Adventure,Drama,Family
809;Laurence Fishburne,Stephen Baldwin,Salma Hayek,Will Patton,Robert John Burke;Kevin Hooks;Preston A. Whitmore II;Action,Comedy,Thriller
810;Shaquille O'Neal,Francis Capra,Ally Walker,James Acheson;Paul Michael Glaser;;Fantasy,Comedy,Sci-Fi,Family
812;Gary Kemp,Sadie Frost,Aleksandr Kaydanovskiy,Péter Vallai,Andor Lukáts;Ildikó Enyedi;Ildikó Enyedi,László Révész;
813;Bill Murray,Tai the Elephant,Jeremy Piven,Janeane Garofalo,Pat Hingle;Howard Franklin;;Family,Comedy
814;Scott Caan,Lee Nashold,Kevin Michael Richardson,James Caan,Missy Crider;Mitch Marcus;;
815;Eric Roberts,Lisa Thornhill,Jason Gedrick,Jack Betts,Jennie Garth;Jaime Hellman;;Action,Mystery,Thriller
816;Sônia Braga,Patrick Malahide,Michael Gambon,Ion Caramitru;Nicolas Roeg;Allan Scott;War,Drama
818;Shelley Long,Gary Cole,Christopher Daniel Barnes,Christine Taylor,Paul Sutera;Arlene Sanford;;Comedy
819;Maurizio Nichetti,Elena Sofia Ricci,Amanda Sandrelli,Milena Vukotic,Renato Scarpa;Maurizio Nichetti;;Comedy
820;Simone Signoret,Charles Vanel,Georges Marchal,Michel Piccoli,Tito Junco;Luis Buñuel;;Adventure,Drama,Foreign
821;;;;Romance
822;;Paul Turner;;
823;Patrick Bauchau,Haydée Politoff,Daniel Pommereulle,Alain Jouffroy,Mijanou Bardot;Éric Rohmer;Éric Rohmer;Drama,Comedy,Romance
824;André Eisermann,Udo Samel,Jeremy Clyde,Katharina Thalbach,Johannes Silberschneider;Peter Sehr,Gernot Roll;;Drama,Foreign
825;Christoph M. Ohrt,Carin C. Tietze,Tim Bergmann,Oliver Stokowski,Rudolf Kowalski;Rolf Silber;;Comedy,Foreign
826;Christiane Hörbiger,Jennifer Nitsch,Lena Stolze,Peter Ehrlich,Wolf Roth;Peter Weck;;Drama
827;Catherine Deneuve,John Malkovich,Luís Miguel Cintra,Leonor Silveira;Manoel de Oliveira;;Thriller,Foreign
828;Martin Landau,Jonathan Taylor Thomas,Geneviève Bujold,Udo Kier,Bebe Neuwirth;Steve Barron;Sherry Mills;Animation,Family,Fantasy
829;Jerry O'Connell,Megan Ward,Billy West,Reginald Hudlin,Willi One Blood;John Payson;;Fantasy,Comedy,Music
830;Bette Midler,Goldie Hawn,Diane Keaton,Maggie Smith,Dan Hedaya;Hugh Wilson;;Comedy
831;Guillermo Díaz,Frederick Weller,Brendan Corbalis,Duane Boutte,Bruce MacVittie;Nigel Finch;Rikki Beadle Blair,Martin Duberman;Romance,Drama,Comedy
832;Mel Gibson,Gary Sinise,Delroy Lindo,Rene Russo,Lili Taylor;Ron Howard;;Action,Thriller
833;Jon Lovitz,Tia Carrere,Louise Fletcher,Mekhi Phifer,Natasha Gregson Wagner;Hart Bochner;;Comedy
834;Jermaine 'Huggy' Hopkins,Claudia Kaleem,Candice Merideth,Alma Collins,Coolio;Doug Ellin;;Comedy
835;Angelina Jolie,Hedy Burress,Jenny Lewis,Jenny Shimizu,Sarah Rosenberg;Annette Haywood-Carter;;Action,Drama,Thriller
836;Keanu Reeves,Morgan Freeman,Rachel Weisz,Fred Ward,Kevin Dunn;Andrew Davis;Josh Friedman,Arne Schmidt,Rick Seaman;Adventure
837;Mara Wilson,Danny DeVito,Embeth Davidtz,Rhea Perlman,Pam Ferris;Danny DeVito;;Comedy,Family,Fantasy
838;;;;Comedy,Drama,Romance
839;Vincent Pérez,Mia Kirshner,Iggy Pop,Thomas Jane,Richard Brooks;Tim Pope;;Action,Fantasy,Thriller
840;Jamie Lee Curtis,Kevin Pollak,Kyle Howard,Jennifer Love Hewitt,Jennifer Tilly;Harry Winer;Michael Hitchcock;Comedy,Family
841;Pierre Brasseur,Alida Valli,Edith Scob,François Guérin,Juliette Mayniel;Georges Franju;Pierre Gascar;Drama,Horror,Thriller,Mystery,Crime
842;Dennis Miller,Erika Eleniak,Angie Everhart,John Kassir,Chris Sarandon;Gilbert Adler;;Horror,Comedy
843;;John Rubino;;Drama
844;Jiang Wenli,Zhang Guoli,Xingli Niu,Tian Shaojun,Zhang Haiyan;Yin Li;;
845;Siqin Gaowa,Tou Chung-Hua,Ma Jing-Wu,Zi Wei;Yim Ho;;
846;Paul Austin,Robert John Burke,Martin Donovan,Erica Gimpel,Michael Imperioli;Hal Hartley;Hal Hartley;Drama,Romance
847;Lara Flynn Boyle,Danny Nucci,Peter Dobson,Luca Bercovici,Michael Chieffo;Marcus DeLeon;Marcus DeLeon;Drama
848;Alison Elliott,Ellen Burstyn,Marcia Gay Harden,Will Patton,Kieran Mulroney;Lee David Zlotoff;;Comedy,Drama
849;Kurt Russell,Stacy Keach,Steve Buscemi,Pam Grier,Cliff Robertson;John Carpenter;;Action,Adventure,Sci-Fi,Thriller
850;Le Van Loc,Tony Leung Chiu-Wai,Như Quỳnh Nguyễn,Hoang Phuc Nguyen,Ngo Vu Quang Hal;Trần Anh Hùng;Trần Anh Hùng;Crime,Drama
851;Jeffrey Wright,David Bowie,Dennis Hopper,Gary Oldman,Benicio del Toro;Julian Schnabel;Julian Schnabel,John F. Bowe;Drama,History
852;Kevin Costner,Don Johnson,Cheech Marin,George Perez,Rene Russo;Ron Shelton;;Comedy,Drama,Romance
853;Colin Friels,Miles Davis,Helen Buday,Joe Petruzzi,Brigitte Catillon;Rolf de Heer;;Drama,Music
854;Kinuyo Tanaka,Teiji Takahashi,Yûko Mochizuki,Seiji Miyaguchi,Yūnosuke Itō;Keisuke Kinoshita;Keisuke Kinoshita;Drama
855;Nathalie Baye,Joachim Serreau,Felicie Pasotti,Predrag 'Miki' Manojlovic,Henri Garcin;Nicole Garcia;Nicole Garcia,Jacques Fieschi;Drama
856;Matteo Fadda,Giacomo Fadda,Carla Benedetti,Stefano Masciarelli,Claudio Bigagli;Leone Pompucci;;
857;;Zheng Jun-Li;;
858;Marlon Brando,Al Pacino,James Caan,Richard S. Castellano,Robert Duvall;Francis Ford Coppola;;Drama,Crime
859;;;;Documentary
860;Til Schweiger,Katja Riemann,Joachim Król,Rufus Beck,Armin Rohde;Sönke Wortmann;;Comedy,Drama
861;Jackie Chan,Michelle Yeoh,Maggie Cheung,Kenneth Tsang,Yuen Wah;Stanley Tong;;Action,Comedy,Thriller,Crime
862;Mary Kay Place,Scarlett Johansson,Aleska Palladino,Dean Silvers,Marlen Hecht;Lisa Krueger;Lisa Krueger;Drama,Comedy
